,backprop,backprop,bfs,bfs,b+tree,b+tree,dwt2d,dwt2d,gaussian,gaussian,heartwall,heartwall,hybridsort,hybridsort,kmeans,kmeans,lavaMD,lavaMD,lud,lud,myocyte,myocyte,nn,nn,nw,nw,pathfinder,pathfinder,srad,srad
Kernel exec (ms),1289.12,,284.033,,884.279,,242.383,,1554.38,,4116.86,,312.67,,5770.5,,6750.72,,15796.7,,7820.44,,45.6724,,440.698,,1007.33,,961.707,
end2end (s),1.595,,0.555,,2.50833,,0.470833,,1.7725,,4.445,,0.935,,7.69667,,7.02,,16.0058,,9.07917,,0.249167,,0.644167,,1.32167,,1.17833,
# of API,53,,208,,107,,128,,24595,,634,,238,,271,,38,,2314,,215097,,27,,305,,93,,479,
,point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms),point,time (ms)
,13,163.359,61,40.123,23,138.89,127,67.269,6710,321.578,61,368.305,126,59.905,61,2128.932,1,0.058,521,145.641,144841,260.495,13,0.155,294,104.25,85,1.741,366,54.245
,4,0.087,90,34.048,43,142.779,68,496.889,15381,340.731,622,159.449,116,60.681,64,2110.717,20,288.709,80,145.692,140141,246.763,4,0.075,296,97.381,38,370.884,409,55.865
,40,328.355,29,36.828,49,3.116,19,568.483,21097,364.383,126,364.196,176,61.566,4,0.093,14,156.745,1290,157.228,134688,243.822,10,0.064,266,99.293,1,0.084,260,56.165
,42,323.399,206,0.487,98,2.461,45,498.67,21276,355.221,538,368.721,100,4.871,225,2093.563,0,0.071,4,0.083,45724,75.477,7,0.04,89,96.948,50,355.787,183,56.55
,41,325.332,78,33.385,3,0.084,82,502.859,15123,342.001,252,370.283,107,19.738,97,2076.314,16,293.926,1130,156.121,201589,362.177,13,0.129,292,102.167,58,366.443,130,57.514
,41,333.767,33,39.445,102,0.347,7,0.199,10753,327.378,395,365.804,34,69.153,93,2095.874,12,0.144,161,141.21,52526,83.679,12,0.098,79,102.038,58,363.847,414,55.845
,19,331.957,79,38.552,98,2.571,98,511.371,14555,337.435,496,367.339,72,68.124,199,2123.015,3,0.069,1953,154.628,151717,273.322,12,0.112,207,102.286,88,0.665,454,54.235
,31,339.649,95,37.843,57,0.107,44,484.967,24259,369.971,163,370.607,62,63.743,49,2118.469,1,0.053,1484,153.654,86992,147.653,11,0.129,28,102.834,16,374.321,424,50.727
,3,0.096,187,37.424,44,143.237,26,558.682,2231,303.922,259,367.389,160,68.12,78,2126.059,14,153.394,719,143.63,208110,378.47,6,0.073,188,99.455,40,370.743,343,54.151
,39,332.957,137,36.642,34,146.313,47,490.96,18862,354.232,141,365.648,209,60.815,20,2112.297,21,292.857,846,143.673,6665,14.046,14,0.109,29,97.923,22,368.531,310,57.062
,27,331.255,25,33.584,96,172.073,35,506.818,23970,368.282,532,365.21,77,66.318,103,2107.417,31,149.755,2144,156.123,64288,111.854,17,5.879,290,102.978,87,0.342,44,50.405
,43,318.634,14,32.994,73,0.155,103,502.124,7286,318.956,35,342.211,115,63.864,163,2104.038,3,0.065,335,149.285,164963,299.149,2,0.082,6,0.109,86,0.661,31,51.499
,26,338.018,76,39.052,32,141.574,95,503.035,12539,333.661,517,374.378,24,53.602,0,0.091,5,0.085,790,151.436,40949,63.119,19,3.944,131,97.079,21,367.876,469,0.881
,33,336.743,128,36.567,8,0.076,33,492.662,11983,329.075,74,372.826,7,0.093,150,2135.375,28,289.871,951,151.213,45002,72.661,24,6.008,116,105.559,6,0.126,411,53.662
,34,334.51,9,0.13,30,143.146,107,507.83,3063,314.363,278,371.203,202,59.616,66,2063.998,17,285.141,1351,153.718,73643,122.819,5,0.081,260,98.885,76,365.551,232,54.25
,18,337.038,180,36.122,13,0.155,113,495.63,20997,359.667,39,364.25,87,52.552,211,2085.467,13,41.043,1305,151.676,156175,278.536,26,1.533,252,101.55,85,5.078,331,54.416
,50,0.325,171,38.375,106,0.198,38,480.381,20877,360.18,614,353.098,147,62.064,193,2111.553,26,294.19,2211,153.845,60929,106.295,19,4.352,132,97.87,0,0.097,270,50.745
,8,0.117,60,36.461,24,145.003,79,501.456,4673,319.977,630,4.625,118,62.192,267,1.071,13,41.294,231,152.53,158693,286.636,26,1.359,157,99.223,17,374.83,173,56.245
,26,321.926,147,36.248,50,1.294,59,495.679,7351,323.835,582,368.101,50,65.725,219,2145.715,28,292.91,1990,152.924,15040,24.403,24,4.624,175,99.744,10,370.761,161,53.175
,10,0.224,175,41.815,81,176.107,74,493.48,17170,347.812,564,367.132,182,64.597,58,2142.121,36,0.202,1595,146.244,109638,191.248,15,0.158,93,101.386,10,358.109,284,51.1
,37,333.517,140,37.201,28,142.695,41,498.818,20569,363.298,345,374.089,56,70.351,29,2084.609,3,0.07,1564,155.392,37848,63.367,23,5.264,195,96.853,14,374.459,248,54.97
,4,0.082,170,35.47,5,0.037,26,560.59,17836,342.52,86,371.265,152,61.336,201,2126.789,10,0.162,2271,141.629,86270,153.375,25,5.356,179,100.897,83,363.856,404,55.29
,5,0.085,102,38.625,69,0.141,35,493.731,9462,324.631,170,370.796,81,65.153,251,2116.495,15,184.06,1305,155.477,50690,87.126,10,0.111,106,99.793,47,364.549,320,51.081
,16,171.907,38,34.537,40,146.55,75,488.573,22588,352.792,150,370.125,109,42.896,240,2143.389,25,293.848,2177,154.244,49516,82.258,21,5.07,3,0.073,53,372.389,453,56.47
,1,0.063,196,37.142,67,0.106,104,498.347,14848,333.206,511,367.175,6,0.086,14,2084.56,15,187.024,254,146.456,25363,42.398,3,0.043,98,105.057,30,375.533,447,56.934
,42,343.178,174,36.795,1,0.033,125,59.946,5459,318.017,191,372.256,130,63.727,254,2137.085,12,0.223,1843,153.697,73629,122.936,8,0.086,106,103.297,19,364.019,456,56.462
,26,330.31,73,36.675,20,148.614,41,507.564,7779,321.534,631,3.671,1,0.061,34,2122.616,34,0.19,1745,154.01,85996,147.177,22,6.67,154,102.67,87,1.792,223,53.719
,12,10.816,108,34.892,78,177.726,111,505.927,14659,335.399,74,370.933,87,50.95,35,2107.567,36,0.18,1043,154.016,34209,51.609,5,0.081,208,103.086,83,360.141,392,52.879
,24,339.111,103,37.425,92,174.048,67,516.863,8521,325.459,75,367.242,51,68.231,94,2108.392,17,284.254,1673,158.627,164601,297.206,0,0.052,21,99.079,3,0.123,167,54.498
,33,333.569,38,38.005,105,0.272,37,497.074,21485,358.394,632,5.451,133,64.123,15,2111.963,19,286.641,114,143.224,157352,281.659,7,0.093,247,103.458,59,374.948,134,55.203
,50,0.317,34,36.931,57,0.088,95,495.791,6283,300.78,7,0.114,138,62.144,114,2105.308,30,175.734,1617,153.676,188203,334.953,7,0.103,105,101.107,27,367.135,241,54.717
,17,329.537,6,0.079,84,175.644,116,498.594,22581,366.807,294,367.632,51,61.823,175,2099.843,32,39.226,1079,156.214,155553,275.537,4,0.075,295,94.969,16,363.521,426,51.296
,44,320.212,131,32.273,98,3.761,46,486.331,6993,324.875,407,372.439,75,64.153,100,2129.257,15,175.344,958,146.55,143946,252.316,24,3.983,303,0.097,16,371.289,461,43.499
,38,332.625,184,38.116,51,1.341,105,500.9,17023,343.607,533,369.295,104,3.902,102,2133.644,11,0.172,1889,155.751,118143,205.053,11,0.132,208,104.263,60,376.81,292,55.241
,5,0.039,118,31.484,57,0.08,58,495.85,21692,350.733,20,20.422,226,64.75,81,2125.419,25,294.888,149,144.619,1173,3.603,21,5.047,58,101.029,68,365.115,333,56.34
,46,170.865,154,35.461,25,144.368,12,65,516,300.655,217,374.61,73,67.832,130,2127.46,18,288.529,2228,160.023,159590,288.506,13,0.107,162,99.927,72,367.204,391,54.216
,48,0.555,161,42.182,88,171.32,3,0.083,11785,330.098,186,363.302,231,46.603,41,2086.629,14,160.545,1337,156.887,51316,83.406,26,1.295,56,98.886,1,0.03,301,49.793
,25,331.025,134,36.325,67,0.061,22,547.739,9006,328.964,130,369.671,237,3.88,46,2109.775,14,151.224,1122,152.598,34726,56.566,19,3.983,112,104.588,24,365.241,138,53.585
,24,336.084,174,33.62,94,171.227,51,500.209,22282,361.167,508,366.153,37,66.979,51,2126.333,32,39.348,619,149.557,28423,44.411,9,0.111,214,102.156,16,367.283,179,53.166
,39,320.057,132,37.055,79,173.198,78,502.741,11881,331.469,503,367.297,37,65.25,185,2108.565,32,38.268,1300,151.15,56879,98.228,16,4.19,38,99.237,33,367.447,441,52.467
,51,0.466,156,39.326,72,0.154,102,493.515,19054,354.363,607,350.484,186,59.605,136,2133.091,7,0.089,277,149.741,163195,290.585,25,5.388,289,97.866,21,370.629,225,51.626
,11,0.147,81,38.564,62,0.17,102,496.466,19789,359.578,289,370.009,30,66.218,213,2095.552,7,0.087,1704,148.157,50912,82.999,22,5.819,128,102.05,3,0.053,431,55.03
,30,338.279,47,37.573,1,0.063,95,495.577,6597,316.478,372,365.625,237,1.898,253,2122.461,0,0.073,1936,146.615,145494,261.989,0,0.079,129,101.242,3,0.142,425,55.705
,2,0.035,98,37.193,70,0.098,8,0.123,23103,363.205,496,374.429,80,66.89,39,2110.62,27,288.868,658,150.551,1411,3.78,6,0.089,282,96.816,13,378.226,369,55.134
,5,0.087,27,37.72,4,0.082,55,498.197,23723,364.039,559,369.707,216,63.988,106,2132.637,14,156.904,1602,151.725,192715,353.466,21,5.656,76,102.359,68,370.404,1,0.069
,41,326.409,25,32.327,49,2.088,26,568.77,20470,360.679,168,372.691,53,64.601,112,2110.023,15,178.891,885,150.604,200474,361.861,1,0.058,126,97.215,46,372.776,262,56.553
,42,329.128,57,35.334,83,169.137,73,502.802,10493,328.575,197,365.56,184,62.688,206,2113.213,33,0.35,311,148.124,24027,37.028,17,5.852,35,97.185,76,359.503,478,0.139
,9,0.172,174,34.908,73,0.137,71,502.64,22231,358.599,413,363.253,193,63.158,92,2094.408,8,0.113,1316,154.876,7948,13.116,4,0.082,279,99.533,47,369.458,344,53.698
,43,332.521,94,40.084,92,170.436,120,276.84,19599,359.309,593,375.848,211,63.791,189,2115.483,35,0.223,1857,157.83,32561,52.54,12,0.118,268,93.072,29,356.97,102,54.876
,51,0.49,45,35.922,37,144.501,98,496.866,22684,360.371,334,369.759,31,66.78,56,2083.632,35,0.069,86,147.043,140842,254.933,17,6.561,219,95.902,52,368.849,421,55.105
,,,,,,,,,6905,0.069,,,,,,,,,,,90738,152.085,,,,,,,,
,,,,,,,,,22661,361.753,,,,,,,,,,,194032,353.403,,,,,,,,
,,,,,,,,,23854,360.833,,,,,,,,,,,121931,213.839,,,,,,,,
,,,,,,,,,885,304.069,,,,,,,,,,,176735,323.025,,,,,,,,
,,,,,,,,,8371,324.173,,,,,,,,,,,134314,235.66,,,,,,,,
,,,,,,,,,2002,307.92,,,,,,,,,,,81606,143.049,,,,,,,,
,,,,,,,,,5614,318.983,,,,,,,,,,,198356,355.893,,,,,,,,
,,,,,,,,,300,301.776,,,,,,,,,,,82492,144.417,,,,,,,,
,,,,,,,,,24125,364.269,,,,,,,,,,,73694,124.964,,,,,,,,
,,,,,,,,,16723,344.955,,,,,,,,,,,146287,263.202,,,,,,,,
,,,,,,,,,23463,365.674,,,,,,,,,,,133260,233.44,,,,,,,,
,,,,,,,,,10942,338.453,,,,,,,,,,,132576,237.499,,,,,,,,
,,,,,,,,,13471,338.525,,,,,,,,,,,111515,195.488,,,,,,,,
,,,,,,,,,18035,340.24,,,,,,,,,,,136040,245.944,,,,,,,,
,,,,,,,,,20402,356.324,,,,,,,,,,,67173,115.492,,,,,,,,
,,,,,,,,,20481,356.384,,,,,,,,,,,143029,259.972,,,,,,,,
,,,,,,,,,14057,334.636,,,,,,,,,,,18856,31.445,,,,,,,,
,,,,,,,,,12769,339.95,,,,,,,,,,,124868,219.422,,,,,,,,
,,,,,,,,,11205,321.824,,,,,,,,,,,97855,166.92,,,,,,,,
,,,,,,,,,13213,334.009,,,,,,,,,,,119672,211.721,,,,,,,,
,,,,,,,,,3240,311.506,,,,,,,,,,,192590,347.859,,,,,,,,
,,,,,,,,,9856,330.855,,,,,,,,,,,146619,264.511,,,,,,,,
,,,,,,,,,12718,331.207,,,,,,,,,,,111006,197.049,,,,,,,,
,,,,,,,,,22075,363.627,,,,,,,,,,,119143,212.454,,,,,,,,
,,,,,,,,,16142,341.908,,,,,,,,,,,194342,354.651,,,,,,,,
,,,,,,,,,8912,323.515,,,,,,,,,,,74538,128.141,,,,,,,,
,,,,,,,,,17259,355.646,,,,,,,,,,,54522,88.599,,,,,,,,
,,,,,,,,,13631,340.498,,,,,,,,,,,129066,227.71,,,,,,,,
,,,,,,,,,8547,328.112,,,,,,,,,,,155897,277.409,,,,,,,,
,,,,,,,,,1137,299.719,,,,,,,,,,,98768,174.65,,,,,,,,
,,,,,,,,,257,298.531,,,,,,,,,,,83128,142.032,,,,,,,,
,,,,,,,,,18246,351.117,,,,,,,,,,,54100,89.999,,,,,,,,
,,,,,,,,,2974,307.271,,,,,,,,,,,49705,78.861,,,,,,,,
,,,,,,,,,22524,365.075,,,,,,,,,,,60830,101.196,,,,,,,,
,,,,,,,,,18752,345.28,,,,,,,,,,,6990,13.199,,,,,,,,
,,,,,,,,,15638,325.514,,,,,,,,,,,176151,321.501,,,,,,,,
,,,,,,,,,23468,361.035,,,,,,,,,,,107615,190.664,,,,,,,,
,,,,,,,,,19382,356.461,,,,,,,,,,,27931,46.598,,,,,,,,
,,,,,,,,,23402,372.028,,,,,,,,,,,139063,247.056,,,,,,,,
,,,,,,,,,24171,368.524,,,,,,,,,,,94703,165.963,,,,,,,,
,,,,,,,,,14517,342.589,,,,,,,,,,,59138,99.063,,,,,,,,
,,,,,,,,,1959,308.228,,,,,,,,,,,84371,144.736,,,,,,,,
,,,,,,,,,13847,335.648,,,,,,,,,,,200089,360.457,,,,,,,,
,,,,,,,,,1324,308.444,,,,,,,,,,,163377,299.776,,,,,,,,
,,,,,,,,,2362,310.889,,,,,,,,,,,203223,358.965,,,,,,,,
,,,,,,,,,1244,296.183,,,,,,,,,,,90624,156.918,,,,,,,,
,,,,,,,,,23232,361.253,,,,,,,,,,,93442,163.409,,,,,,,,
,,,,,,,,,20356,352.514,,,,,,,,,,,155642,279.01,,,,,,,,
,,,,,,,,,12667,337.952,,,,,,,,,,,178775,328.198,,,,,,,,
,,,,,,,,,9102,322.41,,,,,,,,,,,173889,315.91,,,,,,,,
,,,,,,,,,19894,355.989,,,,,,,,,,,4718,8.98,,,,,,,,
,,,,,,,,,14886,334.858,,,,,,,,,,,106701,190.198,,,,,,,,
,,,,,,,,,5547,321.449,,,,,,,,,,,69151,119.314,,,,,,,,
,,,,,,,,,9459,324.441,,,,,,,,,,,102470,178.711,,,,,,,,
,,,,,,,,,2542,305.943,,,,,,,,,,,129275,229.739,,,,,,,,
,,,,,,,,,20253,355.077,,,,,,,,,,,208247,378.223,,,,,,,,
,,,,,,,,,20069,358.96,,,,,,,,,,,96913,167.706,,,,,,,,
,,,,,,,,,23104,367.599,,,,,,,,,,,41953,63.556,,,,,,,,
,,,,,,,,,16118,338.23,,,,,,,,,,,162656,291.509,,,,,,,,
,,,,,,,,,20959,362.452,,,,,,,,,,,189274,340.952,,,,,,,,
,,,,,,,,,8041,318.809,,,,,,,,,,,77132,130.643,,,,,,,,
,,,,,,,,,16634,343.975,,,,,,,,,,,185353,333.828,,,,,,,,
,,,,,,,,,120,301.896,,,,,,,,,,,26265,43.149,,,,,,,,
,,,,,,,,,1109,299.614,,,,,,,,,,,64484,106.632,,,,,,,,
,,,,,,,,,22890,361.858,,,,,,,,,,,124581,216.876,,,,,,,,
,,,,,,,,,21841,357.725,,,,,,,,,,,198314,354.374,,,,,,,,
,,,,,,,,,6396,317.066,,,,,,,,,,,206483,380.058,,,,,,,,
,,,,,,,,,1821,302.878,,,,,,,,,,,202676,368.62,,,,,,,,
,,,,,,,,,19027,353.506,,,,,,,,,,,151337,271.617,,,,,,,,
,,,,,,,,,10819,332.389,,,,,,,,,,,35722,56.645,,,,,,,,
,,,,,,,,,2235,306.004,,,,,,,,,,,87499,152.834,,,,,,,,
,,,,,,,,,8360,325.372,,,,,,,,,,,21684,35.274,,,,,,,,
,,,,,,,,,23589,368.313,,,,,,,,,,,121501,216.092,,,,,,,,
,,,,,,,,,24585,368.339,,,,,,,,,,,114741,201.922,,,,,,,,
,,,,,,,,,7413,325.674,,,,,,,,,,,33337,54.532,,,,,,,,
,,,,,,,,,23207,365.604,,,,,,,,,,,83518,139.771,,,,,,,,
,,,,,,,,,18011,352.258,,,,,,,,,,,60428,95.713,,,,,,,,
,,,,,,,,,15838,332.249,,,,,,,,,,,65788,113.221,,,,,,,,
,,,,,,,,,19543,356.84,,,,,,,,,,,126095,223.7,,,,,,,,
,,,,,,,,,1506,300.575,,,,,,,,,,,96024,166.877,,,,,,,,
,,,,,,,,,11115,333.339,,,,,,,,,,,106377,188.356,,,,,,,,
,,,,,,,,,10892,325.99,,,,,,,,,,,121484,219.072,,,,,,,,
,,,,,,,,,19226,346.46,,,,,,,,,,,201517,360.374,,,,,,,,
,,,,,,,,,1111,301.604,,,,,,,,,,,103101,171.904,,,,,,,,
,,,,,,,,,10498,325.132,,,,,,,,,,,77758,132.939,,,,,,,,
,,,,,,,,,1751,303.374,,,,,,,,,,,202806,373.964,,,,,,,,
,,,,,,,,,7220,322.781,,,,,,,,,,,47284,76.705,,,,,,,,
,,,,,,,,,8733,325.902,,,,,,,,,,,156254,281.144,,,,,,,,
,,,,,,,,,21531,365.031,,,,,,,,,,,111514,198.428,,,,,,,,
,,,,,,,,,630,298.166,,,,,,,,,,,184940,341.77,,,,,,,,
,,,,,,,,,19808,357.318,,,,,,,,,,,133614,236.549,,,,,,,,
,,,,,,,,,8852,327.386,,,,,,,,,,,146010,261.115,,,,,,,,
,,,,,,,,,13127,341.406,,,,,,,,,,,60626,102.244,,,,,,,,
,,,,,,,,,11737,330.713,,,,,,,,,,,38017,59.307,,,,,,,,
,,,,,,,,,13536,332.355,,,,,,,,,,,146350,262.153,,,,,,,,
,,,,,,,,,9658,325.32,,,,,,,,,,,92407,158.219,,,,,,,,
,,,,,,,,,10277,331.355,,,,,,,,,,,47378,79.91,,,,,,,,
,,,,,,,,,740,297.462,,,,,,,,,,,86362,151.806,,,,,,,,
,,,,,,,,,23713,360.063,,,,,,,,,,,70768,123.158,,,,,,,,
,,,,,,,,,942,299.908,,,,,,,,,,,29725,47.447,,,,,,,,
