backprop,25,34,13,9,22,4,1,35,48,46,15,39,7,0,27,11,34,49,47,37,35,41,11,42,24,49,16,51,25,13,39,51,14,22,24,13,30,22,12,24,9,10,46,40,30,38,27,52,35,30
,76.855000,76.189000,43.201000,0.303000,82.351000,0.109000,0.075000,69.949000,0.814000,44.358000,45.131000,77.959000,0.130000,0.082000,82.502000,0.240000,82.513000,0.253000,30.723000,70.694000,80.810000,75.495000,0.235000,71.917000,80.333000,0.626000,48.289000,0.498000,73.865000,38.970000,65.595000,0.492000,41.386000,83.874000,82.982000,46.244000,83.785000,80.733000,4.542000,83.073000,0.171000,0.194000,38.554000,78.447000,78.597000,82.267000,80.885000,0.144000,71.403000,70.581000
bfs,198,190,187,110,102,15,202,53,139,18,135,121,102,78,150,7,115,53,75,119,74,113,76,176,137,78,67,200,133,157,62,141,153,129,161,143,119,65,94,5,206,8,116,33,73,160,117,129,168,112
,11.240000,9.481000,8.836000,8.836000,7.368000,13.723000,1.709000,9.569000,7.414000,10.893000,8.852000,8.223000,12.172000,8.808000,8.593000,0.036000,8.620000,11.951000,14.700000,9.434000,13.301000,12.016000,11.552000,8.940000,12.593000,12.417000,12.721000,2.219000,9.143000,6.814000,12.404000,11.266000,9.484000,11.653000,9.486000,12.581000,14.953000,11.176000,7.895000,0.133000,0.500000,0.113000,11.499000,9.098000,12.767000,12.564000,11.041000,12.895000,10.306000,7.721000
b+tree,63,62,36,66,83,49,27,9,6,20,33,17,65,41,94,97,55,83,93,24,13,8,11,102,9,96,96,20,103,60,22,96,28,42,51,72,103,31,53,51,78,53,86,83,79,28,60,92,38,47
,0.159000,0.147000,31.548000,0.263000,43.691000,1.303000,36.411000,0.042000,0.100000,41.941000,39.732000,35.996000,0.127000,39.353000,36.397000,44.406000,0.666000,40.445000,40.427000,41.038000,0.161000,3.179000,0.200000,0.286000,0.043000,43.283000,51.048000,39.248000,0.155000,0.115000,31.599000,49.393000,35.302000,37.065000,1.030000,0.217000,0.303000,39.821000,0.649000,1.278000,43.789000,0.776000,43.002000,44.243000,37.250000,40.582000,0.160000,40.360000,39.861000,41.683000
dwt2d,32,19,15,119,12,31,52,55,39,107,25,25,42,90,69,85,50,24,24,28,29,83,34,88,3,112,77,98,2,9,31,2,104,123,127,76,63,111,6,72,117,105,101,21,92,5,36,69,43,124
,70.181000,74.399000,45.918000,53.673000,19.825000,71.340000,66.601000,68.230000,67.005000,67.041000,73.416000,76.675000,71.604000,66.235000,67.459000,71.458000,67.598000,79.730000,75.550000,72.478000,69.010000,70.789000,67.850000,69.867000,0.131000,68.745000,68.789000,71.573000,0.086000,0.175000,71.635000,0.087000,68.434000,20.857000,18.784000,68.484000,67.976000,68.097000,0.146000,67.839000,68.288000,68.352000,67.772000,81.613000,65.580000,0.054000,68.638000,68.988000,67.579000,13.797000
gaussian,13896,9609,21680,20008,10551,23756,20761,6712,10194,14073,14005,1321,1515,8179,21804,15379,15231,19615,22140,5329,24041,8973,15165,12126,15511,18370,18001,11194,13000,22146,14880,3264,9706,15833,6323,2356,733,13098,17700,12857,23880,6620,12420,8716,2715,23928,23253,21068,15429,17091,21883,22688,3755,14725,23396,9935,20303,22987,1339,10592,8922,18697,1578,20692,1263,21199,8645,3130,21502,7498,21113,16441,4619,14520,24193,9778,22926,2622,4425,23830,18885,21538,15758,9438,15342,2958,3911,16677,23415,7043,14464,3706,12577,19996,22077,10920,7171,23187,21166,20046,11397,3950,14941,7254,5968,14811,17586,21210,5791,6993,8347,12926,11519,19149,22033,8317,8271,6015,14665,20394,6784,18978,10745,14632,20400,19041,15937,2237,19241,16412,19535,1601,13268,5259,17577,23147,10179,21255,22082,20046,183,5325,13938,19245,4352,2731,21845,23437,19622,11156
,98.961000,92.215000,112.317000,108.090000,90.628000,115.847000,111.607000,89.942000,87.103000,94.685000,100.920000,84.897000,71.241000,93.762000,106.425000,101.554000,103.829000,105.725000,111.464000,88.224000,116.284000,93.880000,102.261000,100.039000,100.768000,105.872000,106.304000,91.874000,97.082000,112.623000,99.862000,87.475000,89.881000,106.722000,87.696000,89.954000,80.479000,92.981000,93.758000,99.172000,115.804000,90.028000,98.531000,91.151000,82.282000,115.727000,114.656000,108.583000,102.193000,106.226000,111.078000,111.980000,88.653000,101.929000,109.238000,83.725000,106.991000,115.459000,76.612000,90.070000,93.363000,108.823000,80.113000,110.641000,84.530000,111.875000,91.471000,81.905000,108.688000,90.018000,111.144000,104.462000,86.471000,95.366000,118.480000,95.188000,119.024000,80.551000,87.639000,115.962000,108.714000,96.325000,106.098000,89.475000,104.164000,79.517000,86.562000,101.363000,116.309000,90.951000,99.872000,87.746000,98.622000,109.856000,111.898000,92.998000,87.272000,111.688000,113.957000,109.037000,94.880000,83.402000,104.794000,91.067000,90.546000,98.158000,105.357000,115.799000,89.998000,95.503000,95.581000,86.671000,97.052000,107.710000,112.078000,92.656000,94.402000,90.365000,103.065000,109.958000,87.940000,106.721000,96.752000,90.885000,108.096000,101.049000,101.244000,85.470000,107.337000,104.484000,109.512000,85.431000,92.698000,89.349000,108.077000,113.910000,96.994000,113.620000,112.024000,111.073000,69.889000,89.477000,103.710000,93.255000,89.648000,88.289000,113.003000,115.827000,114.982000,93.967000
heartwall,612,260,157,141,591,108,117,461,350,108,331,22,2,563,211,377,199,261,65,48,411,346,279,405,625,519,445,267,55,621,372,308,352,15,219,516,156,71,419,127,512,405,586,11,557,401,387,401,264,59
,75.054000,64.220000,73.448000,65.179000,80.440000,65.793000,85.233000,64.818000,69.912000,72.313000,64.414000,11.610000,0.076000,64.219000,79.712000,65.689000,73.036000,72.005000,79.461000,76.918000,79.388000,74.252000,80.286000,67.589000,28.078000,75.128000,71.976000,67.508000,87.156000,47.132000,66.485000,79.098000,64.739000,8.304000,83.440000,80.844000,68.655000,74.726000,78.211000,62.154000,69.529000,69.322000,74.242000,0.560000,86.380000,72.393000,67.265000,80.715000,65.577000,72.691000
hybridsort,163,147,68,44,91,20,45,177,184,211,189,21,179,219,49,123,196,86,75,164,19,34,157,121,150,170,181,29,171,65,62,40,135,121,29,101,150,96,68,199,26,102,153,188,146,220,111,81,22,201
,23.216000,19.599000,18.885000,15.531000,9.243000,19.229000,16.793000,20.480000,19.240000,21.684000,21.342000,23.004000,18.478000,24.270000,15.395000,13.755000,26.299000,19.446000,20.320000,20.665000,19.279000,21.438000,23.346000,19.476000,23.359000,26.376000,21.305000,14.681000,18.058000,14.753000,18.115000,17.190000,21.411000,17.821000,16.019000,0.905000,17.366000,1.406000,19.194000,23.231000,16.502000,0.921000,21.414000,23.588000,16.874000,15.606000,18.888000,14.837000,17.060000,23.866000
kmeans,199,196,190,113,81,199,230,49,254,84,128,16,35,122,154,218,214,258,66,21,176,161,131,93,55,16,114,6,235,130,152,13,246,262,144,18,142,190,206,237,9,240,56,181,177,244,156,101,145,8
,404.335000,414.624000,408.870000,396.561000,386.142000,423.776000,405.602000,369.801000,416.429000,384.451000,355.384000,365.343000,367.992000,409.548000,405.002000,406.738000,424.682000,363.094000,405.046000,395.133000,387.089000,414.547000,397.318000,369.169000,367.634000,369.765000,384.471000,0.128000,359.463000,383.539000,359.321000,403.106000,378.023000,401.538000,363.120000,390.752000,388.663000,370.770000,383.296000,377.978000,0.199000,374.463000,399.187000,414.362000,404.986000,358.419000,406.067000,385.577000,378.947000,0.156000
lavaMD,0,6,8,27,19,21,12,29,34,17,1,18,11,33,1,23,4,6,17,32,17,32,0,18,19,13,1,6,31,18,17,25,18,23,7,13,31,11,18,35,34,2,0,9,15,34,31,8,12,37
,0.090000,0.094000,0.082000,64.895000,58.771000,63.414000,0.062000,64.054000,0.201000,65.538000,0.065000,66.631000,0.258000,0.277000,0.027000,66.184000,0.103000,0.096000,67.004000,12.847000,59.351000,13.272000,0.085000,65.961000,70.621000,12.943000,0.046000,0.137000,38.771000,66.470000,74.854000,64.295000,64.264000,66.093000,0.066000,16.568000,35.404000,0.218000,61.756000,0.202000,0.293000,0.078000,0.100000,0.114000,51.471000,0.296000,34.687000,0.146000,0.057000,0.056000
lud,61,1249,1057,440,1460,1699,2143,1163,1874,134,2064,1488,867,1307,1499,286,975,297,217,1848,2011,1921,1393,579,1838,29,1526,246,1876,1224,1198,358,1546,2307,1773,2063,2008,61,734,683,414,397,1637,908,1851,1438,2310,528,1920,1551,1490,869,832,494,1188,306,2043,992,959,19,613,513,1601,291,46,1393,473,35,2043,559,850,996,361,1419,1937,1286,603,251,329,1507,1131,1300,257,627,405,2115,1623,1350,267,737,1449,1676,1902,1277,1897,1980,206,2116,1131,1286,1735,1348,1895,313,198,2158,152,885,2072,1661,1424,542,368,709,1399,1752,1161,1520,2031,1948,1899,852,1545,1614,671,1754,1309,1365,2216,1797,2251,598,285,1489,2060,764,2170,1144,1473,21,1771,1227,1272,2254,553,1699,1053,2155,1444,724
,34.686000,48.676000,39.880000,41.213000,48.699000,51.375000,49.690000,48.418000,52.030000,41.217000,52.549000,43.767000,48.976000,42.161000,44.450000,33.634000,46.944000,42.889000,43.958000,52.487000,54.839000,52.701000,46.026000,45.042000,51.809000,42.440000,51.562000,41.775000,50.679000,45.038000,48.325000,41.833000,43.454000,44.540000,54.450000,53.929000,46.208000,37.461000,42.199000,36.884000,34.804000,34.609000,45.008000,38.141000,51.390000,36.725000,2.034000,42.880000,50.186000,48.612000,50.036000,45.166000,44.123000,43.390000,46.089000,41.333000,46.834000,44.235000,46.969000,36.086000,41.960000,42.962000,41.374000,45.402000,41.386000,43.900000,36.228000,31.006000,53.012000,44.608000,40.994000,35.344000,45.188000,48.972000,51.223000,48.516000,38.956000,39.822000,37.057000,48.863000,49.853000,46.556000,42.962000,42.712000,46.154000,45.669000,50.528000,46.419000,40.541000,48.008000,48.118000,51.401000,46.445000,38.837000,51.895000,52.448000,37.395000,45.630000,46.261000,45.834000,48.579000,48.046000,51.731000,34.728000,41.114000,52.820000,35.396000,46.284000,49.091000,41.536000,48.275000,45.709000,40.806000,45.726000,37.819000,50.999000,49.121000,47.914000,54.151000,46.274000,42.155000,40.444000,50.854000,51.607000,46.612000,50.842000,48.769000,40.435000,51.947000,53.795000,53.891000,44.461000,36.433000,47.539000,53.904000,45.526000,50.953000,50.412000,47.990000,34.476000,50.405000,47.519000,39.860000,52.551000,46.194000,50.394000,48.811000,51.375000,42.347000,44.203000
myocyte,186673,205001,7907,175897,214183,17114,121990,76112,64471,55199,82651,93049,63852,124957,61396,10060,116222,163544,78049,144762,138543,204703,202904,136233,195592,187041,38606,199591,28488,152561,113336,82916,111878,168097,126591,158665,151718,45134,115803,65095,9574,165974,90559,82746,157979,117813,85303,134200,20323,147567,117296,180928,107265,173324,187647,119127,201009,72936,119884,137329,212708,24641,119250,96752,87995,180513,84727,80431,179397,96113,206985,108329,179955,156030,10435,146053,38150,161788,148048,105475,20010,20203,34654,188205,41961,113064,203859,178753,212587,74760,82481,201611,62011,61894,8922,214092,77600,51468,92915,3628,91336,64273,73928,134017,112758,204240,116100,21700,84022,212386,174123,105292,149939,23464,56463,37453,102706,172952,104269,21109,86808,107591,166447,17663,137797,94908,13763,101839,155610,11595,119884,194020,128564,12400,1497,130762,24061,37133,115732,44571,160450,62560,40114,32095,77717,201630,118185,10483,99307,205129,24604,212895,201418,51842,130361,120741,43665,106164,136501,34707,111893,193460,106497,84100,163671,190167,47737,204711,84776,51238,140768,28150,24461,97860,149362,80283,112624,65850,212908,73045,209315,13126,8731,129685,208061,157776,63932,110240,69126,124512,140583,70993,89711,96100,85500,114487,137295,4530,172486,15615
,207.393000,186.629000,15.192000,159.508000,202.069000,24.196000,116.941000,76.454000,66.961000,58.968000,82.495000,86.441000,67.083000,121.627000,57.673000,13.388000,115.685000,158.456000,78.594000,130.649000,133.744000,196.629000,215.392000,131.992000,189.926000,176.393000,48.504000,190.608000,31.188000,144.846000,109.698000,79.827000,108.336000,155.885000,121.019000,149.327000,141.444000,49.790000,108.092000,64.264000,17.084000,173.331000,90.484000,86.386000,147.276000,115.505000,84.980000,128.178000,26.113000,140.851000,117.319000,168.302000,104.837000,162.230000,176.073000,116.881000,197.675000,72.338000,124.833000,132.920000,218.257000,33.309000,112.824000,94.044000,92.030000,174.288000,83.649000,85.424000,200.507000,95.759000,202.996000,111.814000,161.885000,146.036000,20.308000,147.198000,43.948000,158.169000,142.555000,103.824000,24.397000,21.399000,40.516000,178.961000,60.613000,107.467000,198.843000,160.169000,193.480000,75.877000,77.717000,188.877000,68.095000,75.652000,16.976000,197.427000,76.813000,52.540000,90.789000,11.996000,91.274000,68.600000,83.544000,128.668000,112.133000,189.110000,106.037000,28.943000,85.746000,198.321000,172.235000,102.778000,140.240000,31.765000,61.066000,41.285000,95.326000,161.219000,101.153000,30.571000,89.916000,105.895000,163.171000,23.052000,130.450000,90.924000,22.417000,99.114000,141.287000,19.732000,119.677000,183.901000,127.519000,21.362000,5.426000,125.444000,36.774000,44.251000,111.594000,53.446000,150.196000,60.745000,47.143000,39.729000,108.495000,188.256000,113.747000,17.710000,98.810000,201.523000,31.463000,210.679000,188.174000,52.539000,125.437000,115.254000,45.739000,103.857000,137.942000,39.016000,110.302000,183.759000,103.807000,77.217000,152.507000,176.780000,52.939000,194.810000,83.043000,51.678000,135.841000,33.906000,35.983000,97.743000,146.822000,78.623000,108.642000,69.483000,199.848000,71.034000,199.671000,16.750000,11.738000,125.144000,200.359000,145.257000,66.748000,105.846000,67.701000,116.081000,138.430000,74.134000,77.363000,85.685000,84.990000,155.282000,121.822000,14.086000,159.282000,22.251000
nn,8,17,10,8,25,19,10,6,0,26,25,13,14,15,8,26,25,12,5,5,11,20,1,19,25,20,7,21,21,14,19,14,9,10,25,15,0,20,8,16,15,24,15,15,2,18,16,2,11,1
,0.095000,3.043000,0.112000,0.095000,1.988000,2.892000,0.118000,0.046000,0.100000,0.606000,2.090000,0.189000,0.197000,0.194000,0.086000,0.982000,2.358000,0.185000,0.088000,0.084000,0.099000,2.414000,0.062000,2.045000,1.451000,2.743000,0.084000,2.434000,2.778000,0.197000,1.467000,0.217000,0.125000,0.121000,2.207000,0.193000,0.100000,2.739000,0.127000,2.307000,0.178000,2.592000,0.166000,0.231000,0.111000,2.677000,1.555000,0.104000,0.148000,0.035000
nw,88,267,214,48,301,302,136,49,266,54,238,93,224,54,3,300,103,14,298,211,149,160,120,1,279,204,137,86,186,233,105,99,29,123,158,217,25,299,245,133,250,257,260,241,168,209,134,302,257,225
,30.703000,35.792000,30.232000,30.056000,0.859000,0.150000,32.620000,27.689000,38.493000,29.056000,35.564000,30.647000,34.652000,30.747000,0.089000,1.354000,32.487000,16.963000,24.954000,35.799000,31.673000,28.443000,28.375000,0.049000,21.521000,26.961000,27.166000,21.463000,32.416000,31.879000,22.207000,30.203000,36.458000,31.850000,36.758000,36.019000,27.226000,17.057000,25.604000,29.612000,31.766000,30.732000,35.277000,30.485000,30.977000,36.047000,26.067000,0.189000,30.843000,27.396000
pathfinder,21,15,17,30,3,53,30,4,77,48,63,76,3,49,20,43,88,31,31,5,77,73,37,34,73,56,27,79,18,41,30,4,7,30,10,49,26,60,85,45,27,1,86,59,13,10,57,58,21,14
,84.038000,78.102000,77.821000,78.086000,0.112000,73.010000,68.650000,0.098000,71.091000,70.992000,84.651000,86.390000,0.059000,74.266000,83.779000,72.771000,0.744000,74.731000,80.674000,0.149000,75.402000,71.524000,75.522000,84.560000,81.153000,74.710000,76.422000,84.179000,77.241000,70.592000,80.494000,0.082000,0.175000,71.121000,67.725000,85.028000,79.235000,74.936000,2.021000,74.570000,67.597000,0.099000,1.004000,74.852000,72.343000,79.348000,74.156000,83.747000,80.292000,74.634000
srad,200,445,40,96,282,407,461,415,43,122,312,263,219,46,372,237,7,299,455,110,41,370,253,326,234,199,59,298,283,302,198,357,462,432,353,53,350,433,230,56,473,227,286,342,13,403,286,341,286,280
,20.413000,22.492000,16.613000,18.543000,21.043000,22.813000,18.192000,22.686000,19.359000,20.496000,21.999000,20.896000,22.139000,17.338000,22.056000,20.058000,0.176000,19.168000,21.487000,20.574000,19.320000,22.359000,21.056000,23.094000,21.321000,21.356000,17.968000,23.294000,18.865000,22.031000,18.338000,22.461000,19.037000,22.814000,22.833000,19.836000,21.597000,22.226000,21.079000,19.106000,0.121000,21.460000,22.005000,22.363000,0.255000,22.539000,22.111000,21.267000,21.171000,21.205000
